Left_Distance_Reading,Right_Distance_Reading,Left_Motor_Speed,Right_Motor_Speed
0.032048871,0.442225882,0.271998881,0.098911729
0.138122552,0.194552793,0,0.44998059
0.149529512,0.242242787,0,0.500124935
0.0971371,0.448734745,0,0.269816514
0.108219497,0.079636992,0.433825072,0.203739955
0.069430253,0.121848172,0.16699993,0.123737928
0.146374704,0.677152076,0,0.486257917
0.078943929,0.087699708,0.481968818,0.108818829
0.098939847,0.072288554,0.532531637,0.156050467
0.079435044,0.082380416,0.530601972,0.102131293
0.148791843,0.811686429,0,0.496881017
0.15055701,0.38988415,0,0.504640118
0.094418459,0.70702975,0,0.257868571
0.133001008,0.16020195,0,0.427467996
0.031240596,0.288153037,0.290358666,0.098911729
0.103847009,0.073627826,0.498706565,0.176225103
0.034118671,0.399904882,0.224987765,0.098911729
0.037120308,0.253968859,0.156792281,0.098911729
0.052437111,0.641345891,0,0.098911729
0.041249943,0.63972686,0.062993778,0.098911729
0.074799205,0.227106035,0,0.171622246
0.156925843,0.380149129,0,0.532637174
0.362188487,0.397276932,0,1
0.043890574,0.689488261,0.003006362,0.098911729
0.150528539,0.366238556,0,0.504518349
0.034387147,0.456478714,0.218877159,0.098911729
0.151246563,0.312709336,0,0.507674593
0.070198385,0.109220323,0.29509893,0.107981061
0.036916175,0.269543106,0.161434664,0.098911729
0.038388096,0.427440318,0.128001119,0.098911729
0.039627129,0.339021569,0.099853178,0.098911729
0.103065211,0.069548999,0.533943928,0.165709159
0.150816375,0.465198864,0,0.505779872
0.128091852,0.134717089,0.02006572,0.398477307
0.136124498,0.093660957,0.239600084,0.338688882
0.14695123,0.743199027,0,0.488790705
0.068145383,0.57933759,0,0.142373408
0.117714952,0.097401991,0.274250157,0.275515289
0.093824281,0.488341487,0,0.255252979
0.071072996,0.101458497,0.371880025,0.099793334
0.041628599,0.332554373,0.054394183,0.098911729
0.077755859,0.472523195,0,0.184622271
0.148815758,0.380229486,0,0.496988173
0.037048278,0.409782758,0.158428302,0.098911729
0.068925757,0.587501198,0,0.145807285
0.061329563,0.551903344,0,0.112413441
0.071072711,0.593789825,0,0.155241923
0.048177651,0.487374235,0,0.098911729
0.06924007,0.420651696,0,0.147185706
0.080590659,0.086212223,0.489911207,0.112632624
0.068534288,0.124223148,0.143452423,0.123509003
0.126094652,0.121360081,0.102649794,0.360500089
0.085500668,0.211835356,0,0.218663925
0.042631612,0.286379245,0.031601762,0.098911729
0.048068324,0.492895012,0,0.098911729
0.086146093,0.655598723,0,0.221503571
0.066573815,0.533162462,0,0.135466688
0.094009054,0.70000006,0,0.256066394
0.080692583,0.089262192,0.460868349,0.117961222
0.136441089,0.284423908,0,0.442591666
0.078304199,0.519332245,0,0.18702842
0.145404148,0.647994633,0,0.481991142
0.153291024,0.58721251,0,0.516661122
0.145557319,0.718374874,0,0.482663305
0.149200679,0.271543086,0,0.498678323
0.117428255,0.104163827,0.2295043,0.288417898
0.146522466,0.480939776,0,0.486905726
0.035252363,0.496448548,0.199230931,0.098911729
0.012418229,0.111187565,0.933594351,0.062376253
0.14858771,0.21747518,0,0.495984799
0.080049721,0.090893128,0.447766203,0.118151181
0.147540284,0.291736334,0,0.491381943
0.150403554,0.390732356,0,0.503967954
0.276595006,0.381515187,0,1
0.129963783,0.115273834,0.133524435,0.36311081
0.1244223,0.14868421,0,0.389758669
0.063798234,0.517975116,0,0.123265466
0.146529868,0.645652395,0,0.486939821
0.147770325,0.295730341,0,0.492390188
0.1203311,0.107291771,0.201845767,0.306585786
0.103694408,0.079560802,0.453722995,0.186926135
0.071924547,0.440145546,0,0.158987527
0.143791013,0.510781736,0,0.474899334
0.150584911,0.433812277,0,0.504766757
0.146624959,0.677152076,0,0.487358706
0.999063323,0.382937792,0,1
0.069165193,0.576364406,0,0.146859366
0.042401571,0.470091672,0.036831434,0.098911729
0.146283599,0.478183852,0,0.485858516
0.034593842,0.24140351,0.214178844,0.098911729
0.062982271,0.604117101,0,0.119680596
0.036695529,0.268480617,0.16645459,0.098911729
