Left_Distance_Reading,Right_Distance_Reading,Left_Motor_Speed,Right_Motor_Speed
0.05210832,0.408575663,0.003194562,0.16279554
0.068115531,0.082615196,0.478225868,0.153340148
0.037113288,0.378305252,0.003194562,0.124500729
0.045668173,0.572484618,0.003194562,0.127529483
0.042550583,0.657287173,0.003194562,0.124500729
0.067049613,0.233616402,0.003194562,0.244609764
0.066919926,0.081032243,0.497291012,0.14523823
0.027682573,0.299750189,0.171624626,0.124500729
0.115542026,0.244899626,0.003194562,0.510141594
0.115207372,0.242372915,0.003194562,0.508310144
0.052433204,0.579383689,0.003194562,0.164574933
0.042963849,0.775815572,0.003194562,0.124500729
0.107253177,0.227424928,0.003194562,0.464752873
0.028135588,0.422474048,0.159561962,0.124500729
0.029350069,0.530530011,0.127245777,0.124500729
0.11191435,0.848105453,0.003194562,0.490274859
0.115400126,0.407013053,0.003194562,0.509365476
0.029776215,0.80595036,0.115898694,0.124500729
0.076267588,0.071410102,0.521288558,0.170656104
0.114825418,0.434974929,0.003194562,0.506218411
0.111517739,0.658490088,0.003194562,0.488102675
0.118861475,0.314323739,0.003194562,0.528318852
0.082316676,0.07789346,0.440287255,0.209608723
0.068270534,0.084778674,0.459786859,0.157675053
0.044625128,0.667980733,0.003194562,0.124500729
0.11490514,0.368575793,0.003194562,0.506653794
0.098651657,0.37679866,0.003194562,0.417655744
0.025795675,0.433881102,0.221843134,0.124500729
0.112796398,0.702151773,0.003194562,0.495106669
0.108456776,0.12610293,0.071085384,0.438426373
0.106935844,0.371925086,0.003194562,0.463016071
0.09648651,0.153728697,0.003194562,0.405796278
0.027262645,0.297264754,0.182792814,0.124500729
1,0.228919726,0.003194562,1
0.03455153,0.472536538,0.003194562,0.124500729
0.114182314,0.701562109,0.003194562,0.502697484
0.060623012,0.099205398,0.368959084,0.144840706
0.032964422,0.548314283,0.031051139,0.124500729
0.110682326,0.299720706,0.003194562,0.483531149
0.055295195,0.453844183,0.003194562,0.180248736
0.026969074,0.236054663,0.1906131,0.124500729
0.056598503,0.110942664,0.275179534,0.142990327
0.097993231,0.121090784,0.112384676,0.372674011
0.040312598,0.512621909,0.003194562,0.124500729
0.057737481,0.394574087,0.003194562,0.193622579
0.113781706,0.368956126,0.003194562,0.500501637
0.129272835,0.259092843,0.003194562,0.585325686
0.101067073,0.103666208,0.20110404,0.350459992
0.113116395,0.242010271,0.003194562,0.496857667
0.114039747,0.370955088,0.003194562,0.501916634
0.056219879,0.113133266,0.255858826,0.144376928
0.113443721,0.603972686,0.003194562,0.498651258
0.034353891,0.467648222,0.003194562,0.124500729
0.038811652,0.400721336,0.003194562,0.124500729
0.040923725,0.514219899,0.003194562,0.124500729
0.115797847,0.348223533,0.003194562,0.511542393
0.071521141,0.079733802,0.483963301,0.164007042
0.22776194,0.145694523,0.003194562,1
0.030754195,0.428851266,0.089869406,0.124500729
0.080182396,0.077503692,0.454573334,0.199244704
0.109832255,0.931436796,0.003194562,0.478874439
0.022278366,0.370465667,0.315443788,0.124500729
0.121740343,0.253090061,0.003194562,0.544082571
0.024809478,0.236036973,0.248089652,0.124500729
0.040879312,0.333652931,0.003194562,0.124500729
0.070731917,0.072257745,0.547471185,0.147642304
0.121899343,0.5300229,0.003194562,0.544953338
0.118091126,0.347722319,0.003194562,0.524097526
0.023518606,0.358604571,0.282437578,0.124500729
0.056897182,0.432990709,0.003194562,0.189017926
0.11388319,0.383258431,0.003194562,0.501060064
0.113982454,0.34675527,0.003194562,0.501599561
0.059007035,0.26942376,0.003194562,0.200569784
0.114120579,0.480016428,0.003194562,0.502356749
0.076198748,0.408154053,0.003194562,0.294707252
0.416078672,0.167977932,0.003194562,1
0.065483156,0.086105418,0.461997495,0.146956102
0.042511278,0.428462088,0.003194562,0.124500729
0.025537412,0.395290529,0.228705053,0.124500729
0.032578693,0.329289416,0.041324849,0.124500729
0.086865928,0.075441342,0.431866391,0.22536771
0.049499263,0.559924771,0.003194562,0.148508339
0.039482514,0.330972908,0.003194562,0.124500729
0.11161989,0.945538615,0.003194562,0.488665834
0.061887014,0.08858643,0.457205653,0.134173813
0.116019247,0.454831871,0.003194562,0.512753895
0.075047556,0.459737877,0.003194562,0.288403657
0.054613451,0.117770975,0.216016254,0.143103905
0.060972766,0.483309703,0.003194562,0.211336059
0.102393032,0.196214002,0.003194562,0.438142427
0.118130654,0.243109995,0.003194562,0.524315218
0.112581437,0.178600733,0.003194562,0.493928294
0.11723284,0.464422759,0.003194562,0.519398224
