No. of Epochs,Training Error
1,0.172682
2,0.165142
3,0.164171
4,0.163218
5,0.162031
6,0.160239
7,0.157496
8,0.153931
9,0.150196
10,0.146865
11,0.144137
12,0.141965
13,0.140221
14,0.138764
15,0.137465
16,0.136203
17,0.134852
18,0.133262
19,0.131216
20,0.12836
21,0.1241
22,0.117699
23,0.109599
24,0.102269
25,0.0966694
26,0.0923297
27,0.0889229
28,0.0862241
29,0.084053
30,0.0822674
31,0.0807568
32,0.0794382
33,0.0782532
34,0.0771617
35,0.0761347
36,0.075155
37,0.0742141
38,0.073301
39,0.0724097
40,0.0715349
41,0.0706751
42,0.0698287
43,0.0689957
44,0.0681754
45,0.0673672
46,0.0665702
47,0.0657837
48,0.0650075
49,0.0642418
50,0.0634865
51,0.0627407
52,0.0620043
53,0.0612769
54,0.0605582
55,0.0598479
56,0.0591458
57,0.0584515
58,0.0577648
59,0.0570855
60,0.0564137
61,0.0557495
62,0.0550934
63,0.0544459
64,0.0538074
65,0.0531779
66,0.0525578
67,0.0519473
68,0.0513467
69,0.0507564
70,0.0501767
71,0.0496083
72,0.0490515
73,0.0485065
74,0.0479738
75,0.0474538
76,0.0469468
77,0.0464531
78,0.045973
79,0.0455069
80,0.0450551
81,0.0446178
82,0.0441951
83,0.0437872
84,0.0433938
85,0.0430149
86,0.0426504
87,0.0422998
88,0.0419624
89,0.041638
90,0.0413262
91,0.0410265
92,0.0407383
93,0.0404612
94,0.0401948
95,0.0399387
96,0.0396924
97,0.0394554
98,0.0392271
99,0.0390072
100,0.0387952
101,0.0385907
102,0.0383932
103,0.0382024
104,0.0380178
105,0.0378392
106,0.0376662
107,0.0374984
108,0.0373356
109,0.0371774
110,0.0370237
111,0.0368741
112,0.0367284
113,0.0365864
114,0.0364479
115,0.0363127
116,0.0361806
117,0.0360515
118,0.0359252
119,0.0358015
120,0.0356804
121,0.0355616
122,0.0354452
123,0.0353309
124,0.0352186
125,0.0351084
126,0.035
127,0.0348934
128,0.0347886
129,0.0346854
130,0.0345839
131,0.0344839
132,0.0343854
133,0.0342883
134,0.0341927
135,0.0340985
136,0.0340057
137,0.0339141
138,0.0338238
139,0.0337348
140,0.033647
141,0.0335604
142,0.033475
143,0.0333908
144,0.0333077
145,0.0332257
146,0.0331449
147,0.0330651
148,0.0329864
149,0.0329088
150,0.0328323
151,0.0327568
152,0.0326823
153,0.0326088
154,0.0325364
155,0.0324649
156,0.0323944
157,0.0323249
158,0.0322563
159,0.0321887
160,0.032122
161,0.0320563
162,0.0319914
163,0.0319275
164,0.0318645
165,0.0318024
166,0.0317411
167,0.0316807
168,0.0316211
169,0.0315624
170,0.0315044
171,0.0314473
172,0.0313909
173,0.0313353
174,0.0312805
175,0.0312265
176,0.0311731
177,0.0311205
178,0.0310687
179,0.0310175
180,0.030967
181,0.0309172
182,0.0308681
183,0.0308196
184,0.0307718
185,0.0307246
186,0.030678
187,0.030632
188,0.0305867
189,0.030542
